gesture,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
A LOT,0.6474575400352478,0.4412803053855896,0.6358694434165955,0.4161280393600464,0.630542516708374,0.3823704123497009,0.6260472536087036,0.35363736748695374,0.6189043521881104,0.33351224660873413,0.6593425869941711,0.35534805059432983,0.6680048704147339,0.3187377452850342,0.6737104058265686,0.29378005862236023,0.6787610650062561,0.2742520570755005,0.6697360277175903,0.362023264169693,0.6833882927894592,0.32832303643226624,0.6924883127212524,0.307064026594162,0.7012796401977539,0.2902747094631195,0.676747739315033,0.37502074241638184,0.6923839449882507,0.34855878353118896,0.7028853893280029,0.33163687586784363,0.7126840949058533,0.3175113797187805,0.6806786060333252,0.3935682773590088,0.6946800351142883,0.3815222680568695,0.7039027810096741,0.37298935651779175,0.7125822901725769,0.3645811975002289
A LOT,0.7583916783332825,0.41815394163131714,0.7663402557373047,0.38583219051361084,0.7724407315254211,0.346897691488266,0.7770416140556335,0.3187115490436554,0.7783772349357605,0.29585587978363037,0.7819594144821167,0.33204910159111023,0.7928581237792969,0.28754884004592896,0.7982417941093445,0.2561678886413574,0.801680326461792,0.22968022525310516,0.7791906595230103,0.33645716309547424,0.7887805104255676,0.2822439670562744,0.7920860648155212,0.24318411946296692,0.7932925820350647,0.21241755783557892,0.7718960046768188,0.343128502368927,0.7779542803764343,0.28847751021385193,0.7787790894508362,0.25006967782974243,0.7790189385414124,0.22150355577468872,0.7610461711883545,0.3508170545101166,0.7594437599182129,0.3110370337963104,0.7568214535713196,0.2829769253730774,0.7540547251701355,0.2593516707420349
A LOT,0.3821994364261627,0.7941620349884033,0.37564322352409363,0.7549900412559509,0.3593657910823822,0.7278469800949097,0.34446612000465393,0.7096484303474426,0.3330421447753906,0.6887264847755432,0.3306165337562561,0.7635849714279175,0.30832788348197937,0.7638132572174072,0.2955490052700043,0.762263298034668,0.2840610146522522,0.7584664821624756,0.33241432905197144,0.7862168550491333,0.3113149404525757,0.7907468676567078,0.29952558875083923,0.7888030409812927,0.28924456238746643,0.7831096649169922,0.33949384093284607,0.8067410588264465,0.32120633125305176,0.8151088356971741,0.3125053346157074,0.8108777403831482,0.3054886758327484,0.8021768927574158,0.3493426740169525,0.8257035613059998,0.3364771902561188,0.837958812713623,0.33260539174079895,0.8352672457695007,0.3306093215942383,0.8281257152557373
ABUSE,0.4932752251625061,0.4342572093009949,0.5086399912834167,0.42297452688217163,0.5210951566696167,0.40759462118148804,0.5291029810905457,0.3957868218421936,0.5253255367279053,0.384795218706131,0.5107759237289429,0.35143235325813293,0.522135853767395,0.3325248956680298,0.5311121940612793,0.3521323800086975,0.5324639081954956,0.37154272198677063,0.5012819170951843,0.34996989369392395,0.5142493844032288,0.32726988196372986,0.5242413878440857,0.35088422894477844,0.5252577066421509,0.37118494510650635,0.49245697259902954,0.35569825768470764,0.5047124028205872,0.3386838734149933,0.5148378610610962,0.36092644929885864,0.5168845057487488,0.3787594139575958,0.4842730462551117,0.3681597113609314,0.49847617745399475,0.3651215434074402,0.5095205307006836,0.37832778692245483,0.5146104097366333,0.38940688967704773
ABUSE,0.5546035766601562,0.45309439301490784,0.5783825516700745,0.42931365966796875,0.5892917513847351,0.3998279571533203,0.6021128296852112,0.38202762603759766,0.6124721169471741,0.3682451546192169,0.5589761734008789,0.33782875537872314,0.5800639390945435,0.31412273645401,0.597227156162262,0.32270312309265137,0.6065124273300171,0.3413286507129669,0.5543942451477051,0.3409886062145233,0.5841286182403564,0.31225234270095825,0.599638044834137,0.3270551562309265,0.6064162254333496,0.3488070070743561,0.5553362965583801,0.35278117656707764,0.5859242081642151,0.33109402656555176,0.601570725440979,0.34587034583091736,0.6079419851303101,0.36393845081329346,0.5603927373886108,0.37299108505249023,0.5881733298301697,0.362332820892334,0.6033756732940674,0.3707233965396881,0.6116361618041992,0.3825579285621643
ABUSE,0.48864516615867615,0.4156070649623871,0.508732259273529,0.4027235805988312,0.5232253670692444,0.39140117168426514,0.5369019508361816,0.3959921896457672,0.5491682887077332,0.4044339954853058,0.5181546807289124,0.35548821091651917,0.5327882170677185,0.3333018124103546,0.5447344779968262,0.32959356904029846,0.555519163608551,0.3304857015609741,0.5123202204704285,0.3607335090637207,0.5194157361984253,0.33196595311164856,0.5289068222045898,0.32461726665496826,0.5375922918319702,0.3233533203601837,0.506862998008728,0.3751748502254486,0.511568546295166,0.357583224773407,0.519141674041748,0.3507191240787506,0.5247731804847717,0.3487011194229126,0.5038295388221741,0.39547380805015564,0.5147053003311157,0.4026729464530945,0.5242441296577454,0.41004467010498047,0.5315961837768555,0.4175703227519989
ABUSE,0.4493955969810486,0.5136005878448486,0.4634547829627991,0.483527809381485,0.47226494550704956,0.44310829043388367,0.4815036952495575,0.41610997915267944,0.4902791976928711,0.39384108781814575,0.44886043667793274,0.408340722322464,0.4549628794193268,0.3715227246284485,0.47013935446739197,0.36086058616638184,0.4840179979801178,0.35994529724121094,0.43961650133132935,0.41661757230758667,0.4461442828178406,0.3707660138607025,0.4642540216445923,0.3619125485420227,0.4795396029949188,0.36364224553108215,0.43428847193717957,0.4335309565067291,0.4428148865699768,0.39425355195999146,0.4621273875236511,0.38572099804878235,0.47789502143859863,0.38464200496673584,0.4323786795139313,0.4570499658584595,0.4462156295776367,0.42978179454803467,0.4616853892803192,0.42049938440322876,0.47399935126304626,0.4169784486293793
ABUSE,0.4086340069770813,0.4522656798362732,0.4499408006668091,0.4515017867088318,0.48727938532829285,0.4474527835845947,0.5158940553665161,0.45089271664619446,0.535746157169342,0.46378594636917114,0.5011767148971558,0.38073062896728516,0.5417936444282532,0.3564295172691345,0.5711609125137329,0.34499359130859375,0.5998439788818359,0.3391461968421936,0.46805962920188904,0.37065666913986206,0.4915565252304077,0.3288433849811554,0.513245165348053,0.30585992336273193,0.5355336666107178,0.28968164324760437,0.4282539188861847,0.37742283940315247,0.43390876054763794,0.3405706584453583,0.4404602646827698,0.3159583508968353,0.4507700204849243,0.29521891474723816,0.39032480120658875,0.396381676197052,0.3689306974411011,0.37357667088508606,0.35546794533729553,0.3592589199542999,0.3470766842365265,0.345499724149704
AFRAID,0.43146219849586487,0.5384255051612854,0.44853675365448,0.5282561779022217,0.46151965856552124,0.5077252984046936,0.4721246063709259,0.49212729930877686,0.4828822612762451,0.4908561110496521,0.44921383261680603,0.44876033067703247,0.4517344832420349,0.4160958528518677,0.4524981677532196,0.39579734206199646,0.4531800150871277,0.37772640585899353,0.44145065546035767,0.4463362991809845,0.4415007531642914,0.40844494104385376,0.441354900598526,0.3822188079357147,0.4407091438770294,0.35966330766677856,0.4336019456386566,0.4508790969848633,0.430867075920105,0.4141853153705597,0.42937853932380676,0.391166090965271,0.42766475677490234,0.37147676944732666,0.42577099800109863,0.4622109532356262,0.42233920097351074,0.43746769428253174,0.4206739068031311,0.42175379395484924,0.4190017580986023,0.40806180238723755
AFRAID,0.6536858081817627,0.5289998054504395,0.6227805018424988,0.504189670085907,0.6054428815841675,0.4678114056587219,0.5856077671051025,0.44174888730049133,0.5630342960357666,0.4198285937309265,0.6399052739143372,0.4384906589984894,0.6351863741874695,0.4006207585334778,0.6256939172744751,0.3730752468109131,0.6169060468673706,0.3499681055545807,0.6542772054672241,0.4404199421405792,0.653572142124176,0.40166807174682617,0.6450854539871216,0.37208691239356995,0.6379453539848328,0.3460588753223419,0.6679590940475464,0.44821178913116455,0.6720470190048218,0.41206610202789307,0.6680338978767395,0.38510069251060486,0.6628445982933044,0.36157965660095215,0.6805941462516785,0.46275076270103455,0.6931339502334595,0.43665051460266113,0.6932508945465088,0.4166933596134186,0.6903327107429504,0.39950278401374817
AFRAID,0.7002509236335754,0.5689688324928284,0.6811333894729614,0.5636717081069946,0.6618887186050415,0.5436870455741882,0.6461530923843384,0.5285066366195679,0.6327660083770752,0.5175772905349731,0.668978214263916,0.48579370975494385,0.6557180285453796,0.45333951711654663,0.6467721462249756,0.43247807025909424,0.638755202293396,0.4147322475910187,0.6806373596191406,0.47584784030914307,0.6738420724868774,0.43629780411720276,0.6673775911331177,0.4096473455429077,0.6602022647857666,0.38741379976272583,0.692384660243988,0.4763152003288269,0.6883518099784851,0.4389433264732361,0.6833613514900208,0.41350802779197693,0.6771816611289978,0.3919919431209564,0.7039412260055542,0.4839419424533844,0.7034101486206055,0.45390480756759644,0.7002072334289551,0.4341079294681549,0.6954174041748047,0.4168861508369446
AFRAID,0.3775913119316101,0.5169430375099182,0.39449581503868103,0.5021639466285706,0.4072782099246979,0.4829733967781067,0.4146023392677307,0.4682486951351166,0.4190048277378082,0.4572117030620575,0.388105571269989,0.43773770332336426,0.3930196166038513,0.4136670231819153,0.3967877924442291,0.3992646038532257,0.39987313747406006,0.38603511452674866,0.3790576756000519,0.4307658076286316,0.3808308243751526,0.3940291106700897,0.38352325558662415,0.37347063422203064,0.3862004578113556,0.3571588397026062,0.3704459071159363,0.430920273065567,0.3688940107822418,0.3947676122188568,0.3704766035079956,0.37319040298461914,0.37299230694770813,0.35527604818344116,0.36179861426353455,0.43812525272369385,0.35619810223579407,0.4123002290725708,0.3566626012325287,0.39493328332901,0.3592313528060913,0.38016727566719055
AFRAID,0.38771334290504456,0.46328169107437134,0.4091898798942566,0.4498841166496277,0.4249613583087921,0.4296240210533142,0.43637850880622864,0.4074280858039856,0.44552484154701233,0.3913707137107849,0.40348267555236816,0.3746703863143921,0.40877974033355713,0.3430778980255127,0.41133245825767517,0.32140305638313293,0.41277602314949036,0.3035008907318115,0.3905201554298401,0.36722469329833984,0.3896254003047943,0.3238707184791565,0.38982531428337097,0.297415167093277,0.3902083933353424,0.2742258608341217,0.378596693277359,0.3683837652206421,0.3757145404815674,0.3277389705181122,0.3767073154449463,0.30132436752319336,0.37824082374572754,0.2776176631450653,0.3666556775569916,0.377250611782074,0.3603249490261078,0.34589245915412903,0.35795074701309204,0.324113667011261,0.35713234543800354,0.3027195334434509
AFRAID,0.6095388531684875,0.41619741916656494,0.5943014621734619,0.39370009303092957,0.585875928401947,0.3651896119117737,0.5825754404067993,0.34035736322402954,0.5783429145812988,0.3204022943973541,0.6033132672309875,0.33357831835746765,0.6013345718383789,0.3003890812397003,0.5992855429649353,0.27942535281181335,0.59772789478302,0.26110896468162537,0.6144100427627563,0.33318132162094116,0.6159633994102478,0.2960817217826843,0.6165579557418823,0.2714417576789856,0.6168925762176514,0.25087058544158936,0.6237553954124451,0.33987218141555786,0.6296748518943787,0.305865615606308,0.632793664932251,0.2834809720516205,0.6346044540405273,0.26357951760292053,0.6320620179176331,0.3525930941104889,0.6401858925819397,0.3295075297355652,0.6443257927894592,0.3125538229942322,0.6469600796699524,0.29625195264816284
AGREE,0.57874596118927,0.612183153629303,0.570018470287323,0.5731502175331116,0.5390532612800598,0.5344335436820984,0.5035654306411743,0.5118600130081177,0.4774441719055176,0.49373769760131836,0.5288172960281372,0.5518980026245117,0.46632131934165955,0.5326138734817505,0.4261602461338043,0.5229924917221069,0.39236482977867126,0.5158228278160095,0.5152184367179871,0.5815868377685547,0.4444521367549896,0.5637223124504089,0.39836639165878296,0.5538092255592346,0.362092524766922,0.5466656684875488,0.5018484592437744,0.6092962622642517,0.4319456219673157,0.5995428562164307,0.38577908277511597,0.5928363800048828,0.35107171535491943,0.5872191190719604,0.4896601736545563,0.6329041719436646,0.4353078007698059,0.6239692568778992,0.40201476216316223,0.6174104809761047,0.37520259618759155,0.610633373260498
