gesture,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
A LOT,0.354205459356308,0.437669962644577,0.36486274003982544,0.41094547510147095,0.3675689101219177,0.37798985838890076,0.3720601201057434,0.35345086455345154,0.38032588362693787,0.33579719066619873,0.33772188425064087,0.3579019606113434,0.3291568458080292,0.3315073847770691,0.32266756892204285,0.31551069021224976,0.31712794303894043,0.30159300565719604,0.3297223150730133,0.3651088774204254,0.31744539737701416,0.33986523747444153,0.3083093464374542,0.3227054178714752,0.3000529110431671,0.30930641293525696,0.32466182112693787,0.378163605928421,0.3101741671562195,0.3569149374961853,0.29998722672462463,0.3413887917995453,0.29116401076316833,0.32830414175987244,0.3222096860408783,0.3953043520450592,0.30856937170028687,0.3830380439758301,0.2999342679977417,0.3746389150619507,0.2916787266731262,0.36799901723861694,0.6920534372329712,0.4439796209335327,0.6829260587692261,0.4173373281955719,0.6807134747505188,0.3799611032009125,0.6820880174636841,0.3501145839691162,0.6824581027030945,0.3237854540348053,0.7135438323020935,0.3619112968444824,0.7253338098526001,0.3379236161708832,0.7331626415252686,0.3261055052280426,0.7388978600502014,0.3196578919887543,0.7263934016227722,0.3777828514575958,0.7398371696472168,0.3585028350353241,0.7459832429885864,0.3519042432308197,0.7518389225006104,0.34673362970352173,0.7345622181892395,0.39730486273765564,0.748206615447998,0.382295697927475,0.753922700881958,0.37640103697776794,0.7590964436531067,0.37142306566238403,0.7393842339515686,0.41935864090919495,0.750660240650177,0.410369873046875,0.7541387677192688,0.4056197702884674,0.7576432824134827,0.40144452452659607
A LOT,0.7145214676856995,0.42659062147140503,0.7188740372657776,0.3824940621852875,0.7218570709228516,0.3476106822490692,0.7234169840812683,0.32114049792289734,0.7241486310958862,0.2982068359851837,0.7380489110946655,0.33573389053344727,0.7508375644683838,0.29436612129211426,0.7564306855201721,0.2666671574115753,0.7602640986442566,0.24372436106204987,0.7347142100334167,0.3418961465358734,0.7398064732551575,0.28869834542274475,0.7381442189216614,0.25365325808525085,0.7356817722320557,0.22553569078445435,0.7274078726768494,0.3551599681377411,0.7272739410400391,0.30501848459243774,0.7215304970741272,0.2712157964706421,0.7160943150520325,0.24527621269226074,0.7164804339408875,0.36939626932144165,0.7120425701141357,0.33437615633010864,0.7058049440383911,0.3085108995437622,0.7002277970314026,0.2870970666408539,0.24601863324642181,0.4089561402797699,0.2381005436182022,0.37513360381126404,0.22916263341903687,0.3404562771320343,0.22479183971881866,0.3151734471321106,0.22050513327121735,0.29307878017425537,0.21775449812412262,0.32488515973091125,0.20608490705490112,0.27875199913978577,0.20046579837799072,0.24767924845218658,0.19685152173042297,0.22095994651317596,0.2214038372039795,0.328231543302536,0.21140792965888977,0.27337631583213806,0.20716798305511475,0.23617759346961975,0.2057715654373169,0.2052919715642929,0.22921507060527802,0.3351091742515564,0.2220165729522705,0.28335702419281006,0.22054368257522583,0.25051000714302063,0.22167862951755524,0.22370001673698425,0.2406935840845108,0.34368327260017395,0.24162374436855316,0.30648165941238403,0.24459272623062134,0.2802150547504425,0.249274343252182,0.2580648362636566
A LOT,0.3899282217025757,0.7334854006767273,0.3787040710449219,0.6989161372184753,0.35982218384742737,0.6709256768226624,0.3437613844871521,0.6535547971725464,0.331108421087265,0.6395288705825806,0.3339959681034088,0.7039117217063904,0.3117336630821228,0.7028203010559082,0.2986651360988617,0.7004138231277466,0.28740692138671875,0.6980398297309875,0.33509570360183716,0.7245965600013733,0.31244102120399475,0.7290178537368774,0.2991207540035248,0.7255126237869263,0.2886081635951996,0.7217101454734802,0.3411230742931366,0.7439396381378174,0.32282009720802307,0.7481622099876404,0.3156439960002899,0.7396194934844971,0.3105262815952301,0.7310298085212708,0.3510807752609253,0.7610737681388855,0.3385244309902191,0.7664401531219482,0.3348641097545624,0.7596957087516785,0.3330099284648895,0.7523453235626221,0.6168957948684692,0.7945951819419861,0.6250698566436768,0.7577263712882996,0.6399915218353271,0.7286591529846191,0.653776228427887,0.7091266512870789,0.6661266684532166,0.6871643662452698,0.6689387559890747,0.7644275426864624,0.6916661262512207,0.7629575729370117,0.703680694103241,0.7597280144691467,0.713120698928833,0.7556032538414001,0.668813943862915,0.788642168045044,0.6907793283462524,0.7888770699501038,0.7027240991592407,0.7849200367927551,0.7122754454612732,0.7788122296333313,0.6637521386146545,0.8107991814613342,0.6834654808044434,0.8139492869377136,0.6931394338607788,0.8083937168121338,0.6997065544128418,0.7997477054595947,0.6542857885360718,0.8314527273178101,0.6689140796661377,0.838124692440033,0.6723659038543701,0.8330647945404053,0.6728591918945312,0.8244968056678772
ABUSE,0.4664677083492279,0.8443396687507629,0.48679766058921814,0.8384557962417603,0.5017035007476807,0.8581832051277161,0.5087023973464966,0.8878576159477234,0.5139009952545166,0.9117234945297241,0.4893002510070801,0.876617431640625,0.5023271441459656,0.9178948998451233,0.51121586561203,0.9389437437057495,0.5182702541351318,0.9527771472930908,0.4793098270893097,0.8901625871658325,0.49328938126564026,0.9349315166473389,0.5049684643745422,0.9558521509170532,0.5144324898719788,0.9679820537567139,0.47350046038627625,0.8995912671089172,0.48719775676727295,0.9402106404304504,0.49893155694007874,0.957726240158081,0.5079275965690613,0.9668809771537781,0.4710307717323303,0.9044818878173828,0.4830837547779083,0.9355282783508301,0.4928012192249298,0.9489802718162537,0.5010021328926086,0.9568425416946411,0.5131623148918152,0.41483110189437866,0.4929563105106354,0.4012768268585205,0.4807412624359131,0.3893604576587677,0.4704887866973877,0.3887843191623688,0.4583486020565033,0.3907511234283447,0.4861719608306885,0.3522588312625885,0.4723641574382782,0.331256240606308,0.46072816848754883,0.3252253234386444,0.44937458634376526,0.3246145248413086,0.4903246760368347,0.3557335436344147,0.48086073994636536,0.32540228962898254,0.46882128715515137,0.32070791721343994,0.45654621720314026,0.3218652009963989,0.4943552017211914,0.36747169494628906,0.48743292689323425,0.3423967957496643,0.47704029083251953,0.3344295024871826,0.4668077528476715,0.33023619651794434,0.49593037366867065,0.3864423334598541,0.4901275932788849,0.3727487027645111,0.48256590962409973,0.3675491213798523,0.47469696402549744,0.3645833134651184
ABUSE,0.33028826117515564,0.7566447854042053,0.37893322110176086,0.7246286273002625,0.4504261612892151,0.7166094183921814,0.5081218481063843,0.7263120412826538,0.5485320091247559,0.7390285730361938,0.4365580081939697,0.7326045036315918,0.5218691825866699,0.7475788593292236,0.5693579316139221,0.7568390965461731,0.6060543060302734,0.7636220455169678,0.4286791682243347,0.7661499977111816,0.5177233219146729,0.7880167365074158,0.5711068511009216,0.7983561158180237,0.6102488040924072,0.8035556674003601,0.4216477870941162,0.7978699803352356,0.5033069252967834,0.8222488760948181,0.5534802675247192,0.8345633745193481,0.5896663069725037,0.8399803638458252,0.41466864943504333,0.8254623413085938,0.4769243896007538,0.8476211428642273,0.5145073533058167,0.8571957349777222,0.5444981455802917,0.8618453741073608,0.6173943877220154,0.44598573446273804,0.5810649394989014,0.454462468624115,0.5396376252174377,0.4495106041431427,0.5129132270812988,0.4390672743320465,0.48822683095932007,0.42996296286582947,0.5424290895462036,0.401014119386673,0.5166189074516296,0.38174906373023987,0.4998079240322113,0.3757590353488922,0.4910154342651367,0.37342721223831177,0.5644440054893494,0.3872503340244293,0.5463557243347168,0.3593900501728058,0.5332478880882263,0.3426209092140198,0.5249373316764832,0.3255022168159485,0.5881317257881165,0.3830287754535675,0.5794672966003418,0.35395655035972595,0.5689643621444702,0.3322768211364746,0.5602246522903442,0.3123021423816681,0.6123751997947693,0.38671383261680603,0.6250870227813721,0.3685382306575775,0.6314743161201477,0.355103462934494,0.6352778673171997,0.3410956561565399
AFRAID,0.38486549258232117,0.5479056239128113,0.4002665579319,0.5311588048934937,0.4104335308074951,0.5042600035667419,0.41865020990371704,0.48975661396980286,0.4272260069847107,0.4910181760787964,0.38950151205062866,0.4543333053588867,0.38927707076072693,0.41812863945961,0.3891332745552063,0.39492902159690857,0.38823288679122925,0.37617048621177673,0.38014093041419983,0.45349371433258057,0.37294214963912964,0.41160207986831665,0.3677549362182617,0.3857695162296295,0.36191442608833313,0.36478546261787415,0.37251871824264526,0.46192049980163574,0.3619646430015564,0.4233938455581665,0.35498255491256714,0.39946141839027405,0.34847721457481384,0.3791695237159729,0.3661521077156067,0.47791773080825806,0.35249656438827515,0.45195838809013367,0.342865526676178,0.4366814196109772,0.33389484882354736,0.4238448441028595,0.572762668132782,0.537376880645752,0.5538236498832703,0.5290656685829163,0.5401735901832581,0.5081660151481628,0.5279062986373901,0.49580901861190796,0.5177568793296814,0.4893985986709595,0.5521558523178101,0.4572565257549286,0.5516005158424377,0.42442432045936584,0.5512000918388367,0.40010133385658264,0.5517849922180176,0.3809588849544525,0.5603832602500916,0.45274412631988525,0.559444010257721,0.4181865155696869,0.5574660301208496,0.3920069932937622,0.5564086437225342,0.36928901076316833,0.5665392279624939,0.45278385281562805,0.5649427175521851,0.420300155878067,0.5629746913909912,0.39630165696144104,0.5622798204421997,0.37863409519195557,0.57160484790802,0.455522358417511,0.569764256477356,0.4274497926235199,0.5697879791259766,0.40965381264686584,0.5706731677055359,0.39639028906822205
AFRAID,0.7545574903488159,0.46777108311653137,0.7135233879089355,0.4469691812992096,0.6888357400894165,0.41438212990760803,0.6747844815254211,0.38705164194107056,0.6578157544136047,0.3653246760368347,0.7394764423370361,0.3684002459049225,0.743241012096405,0.3249864876270294,0.7409001588821411,0.2985740602016449,0.7380962371826172,0.2779407203197479,0.7683773636817932,0.3694521188735962,0.7757245302200317,0.32391417026519775,0.776587963104248,0.29456764459609985,0.7771182060241699,0.26883170008659363,0.7956185936927795,0.3789674639701843,0.8099567294120789,0.3350425064563751,0.8189321756362915,0.30509963631629944,0.8249670267105103,0.2802731990814209,0.8217732310295105,0.3954121768474579,0.8487115502357483,0.3638837933540344,0.8697378635406494,0.3419151306152344,0.8870866894721985,0.3221036195755005,0.3438243567943573,0.5347350835800171,0.37198588252067566,0.5077065825462341,0.39230093359947205,0.46772661805152893,0.4125189185142517,0.44041433930397034,0.436897337436676,0.4194895327091217,0.35182514786720276,0.4360056221485138,0.35450032353401184,0.3971309959888458,0.3612658381462097,0.37067505717277527,0.3692842721939087,0.34667688608169556,0.33809033036231995,0.4401255249977112,0.3364049196243286,0.40014559030532837,0.34209391474723816,0.37074345350265503,0.3479314148426056,0.34460440278053284,0.3246091306209564,0.45094865560531616,0.3164406716823578,0.4128653407096863,0.3202778100967407,0.386502742767334,0.3254527747631073,0.3644995093345642,0.3119257390499115,0.46754956245422363,0.29864245653152466,0.44014474749565125,0.29567191004753113,0.4203927218914032,0.2945462763309479,0.403759628534317
AFRAID,0.29932039976119995,0.5689338445663452,0.3205040395259857,0.5638478994369507,0.33949071168899536,0.544103741645813,0.35444778203964233,0.5287125110626221,0.3673992455005646,0.5174079537391663,0.33062222599983215,0.48415759205818176,0.34358876943588257,0.45206013321876526,0.35199812054634094,0.43288999795913696,0.3599805533885956,0.4155900478363037,0.3195420503616333,0.47499191761016846,0.32714736461639404,0.43358924984931946,0.3329966068267822,0.40864527225494385,0.3390633165836334,0.38774773478507996,0.308189332485199,0.47575247287750244,0.3124684989452362,0.43690842390060425,0.3173264265060425,0.41223636269569397,0.3232971429824829,0.3919951617717743,0.2965870201587677,0.48403340578079224,0.2976078689098358,0.4540669918060303,0.30078715085983276,0.43420785665512085,0.30564695596694946,0.4166807234287262,0.6064024567604065,0.6090083718299866,0.5855994820594788,0.6082521080970764,0.5655648708343506,0.5939627885818481,0.5488636493682861,0.5872125625610352,0.5336395502090454,0.5865199565887451,0.573045015335083,0.529583215713501,0.5590510964393616,0.5003405213356018,0.547451913356781,0.48600777983665466,0.536448061466217,0.47787049412727356,0.5824337005615234,0.5198949575424194,0.5717162489891052,0.4825342297554016,0.5605787038803101,0.46224647760391235,0.5499853491783142,0.44899052381515503,0.592994213104248,0.5199682116508484,0.5877975225448608,0.4816901385784149,0.5794565081596375,0.4610576033592224,0.5700424909591675,0.44594696164131165,0.6043670773506165,0.5275471210479736,0.604077160358429,0.4969763159751892,0.5994948148727417,0.47679173946380615,0.5934724807739258,0.45975199341773987
AFRAID,0.333863765001297,0.5057826638221741,0.35136735439300537,0.49633991718292236,0.36517760157585144,0.4789896607398987,0.37693604826927185,0.465120792388916,0.3874538242816925,0.4589666724205017,0.34384816884994507,0.4303530752658844,0.34764328598976135,0.40568283200263977,0.34910139441490173,0.39207738637924194,0.35003963112831116,0.38165026903152466,0.3316284716129303,0.4249958395957947,0.3292740285396576,0.3966262638568878,0.3276107609272003,0.3808639943599701,0.32562899589538574,0.36878159642219543,0.3212191164493561,0.4293406903743744,0.31400343775749207,0.4012947976589203,0.30942028760910034,0.38458532094955444,0.30562302470207214,0.37174275517463684,0.31274309754371643,0.44074445962905884,0.30156463384628296,0.4231215715408325,0.2938908636569977,0.4134185016155243,0.2869645953178406,0.40494266152381897,0.6246524453163147,0.516034722328186,0.607315719127655,0.5021666288375854,0.5947399735450745,0.4853157699108124,0.5867817401885986,0.4710376262664795,0.5821696519851685,0.46077781915664673,0.6119744777679443,0.43703600764274597,0.607741117477417,0.4127223491668701,0.6039872765541077,0.3986301124095917,0.6005314588546753,0.38702157139778137,0.6209968328475952,0.4302665591239929,0.6194818019866943,0.3957868218421936,0.6163939833641052,0.37423017621040344,0.6130075454711914,0.3556615710258484,0.629905104637146,0.4303807020187378,0.631168007850647,0.3964763879776001,0.6301013827323914,0.37452277541160583,0.6280719041824341,0.35584279894828796,0.638983428478241,0.43757012486457825,0.6436582207679749,0.41315847635269165,0.6433997750282288,0.39650022983551025,0.6416546702384949,0.3808848261833191
AFRAID,0.6121413111686707,0.46581509709358215,0.5889866352081299,0.45275968313217163,0.574124276638031,0.42946043610572815,0.5639573335647583,0.40717414021492004,0.5554915070533752,0.389417439699173,0.5976948738098145,0.37768667936325073,0.5923628211021423,0.34456944465637207,0.5891042351722717,0.3239106833934784,0.587014377117157,0.30734381079673767,0.6103411316871643,0.36891666054725647,0.6101064085960388,0.3274855315685272,0.6095831394195557,0.2976556420326233,0.6089159250259399,0.2739202380180359,0.6216779351234436,0.37006184458732605,0.6234907507896423,0.3287305533885956,0.6226115226745605,0.3017430305480957,0.6207800507545471,0.27954062819480896,0.6333191394805908,0.37867069244384766,0.6397813558578491,0.34669241309165955,0.6415073275566101,0.3232802152633667,0.641622006893158,0.3014807105064392,0.3263412117958069,0.4663194715976715,0.3487798273563385,0.45818060636520386,0.3658902645111084,0.43886566162109375,0.37810689210891724,0.4203842282295227,0.3876837193965912,0.40828338265419006,0.34875428676605225,0.3822713792324066,0.3547336161136627,0.34963157773017883,0.3571591377258301,0.3307895362377167,0.358795702457428,0.31488510966300964,0.33708006143569946,0.37346965074539185,0.33975696563720703,0.3345281183719635,0.34091490507125854,0.3100285232067108,0.3415611684322357,0.2910698354244232,0.3257601857185364,0.3729426860809326,0.3264276087284088,0.33651262521743774,0.3272065818309784,0.3130664527416229,0.32853084802627563,0.295655220746994,0.31394901871681213,0.3783329725265503,0.3109818994998932,0.34980130195617676,0.31055960059165955,0.32986950874328613,0.3117808997631073,0.31249329447746277
